# legacy_corrected Brio-Wu 400x8 structured, 400 bins, t=0.1, CFL 0.1; source benchmarks/raw/rp3_convergence/legacy_bw_400/brio_profile.csv
x rho u By p
0.00125 1 -1.90435e-15 1 1
0.00375 1 -5.93451e-15 1 1
0.00625 1 -1.25128e-14 1 1
0.00875 1 -2.06713e-14 1 1
0.01125 1 -2.92954e-14 1 1
0.01375 1 -3.81762e-14 1 1
0.01625 1 -4.73461e-14 1 1
0.01875 1 -5.64256e-14 1 1
0.02125 1 -6.51888e-14 1 1
0.02375 1 -7.44452e-14 1 1
0.02625 1 -8.27937e-14 1 1
0.02875 1 -9.06826e-14 1 1
0.03125 1 -9.89794e-14 1 1
0.03375 1 -1.07242e-13 1 1
0.03625 1 -1.14611e-13 1 1
0.03875 1 -1.22428e-13 1 1
0.04125 1 -1.31466e-13 1 1
0.04375 1 -1.4025e-13 1 1
0.04625 1 -1.45588e-13 1 1
0.04875 1 -1.48034e-13 1 1
0.05125 1 -1.508e-13 1 1
0.05375 1 -1.54263e-13 1 1
0.05625 1 -1.57378e-13 1 1
0.05875 1 -1.62582e-13 1 1
0.06125 1 -1.66584e-13 1 1
0.06375 1 -1.70859e-13 1 1
0.06625 1 -1.78036e-13 1 1
0.06875 1 -1.81415e-13 1 1
0.07125 1 -1.86838e-13 1 1
0.07375 1 -1.99413e-13 1 1
0.07625 1 -2.12144e-13 1 1
0.07875 1 -2.18696e-13 1 1
0.08125 1 -2.25528e-13 1 1
0.08375 1 -2.34591e-13 1 1
0.08625 1 -2.44388e-13 1 1
0.08875 1 -2.47051e-13 1 1
0.09125 1 -2.4625e-13 1 1
0.09375 1 -2.44077e-13 1 1
0.09625 1 -2.51302e-13 1 1
0.09875 1 -2.73377e-13 1 1
0.10125 1 -2.98394e-13 1 1
0.10375 1 -3.37652e-13 1 1
0.10625 1 -3.82708e-13 1 1
0.10875 1 -4.28726e-13 1 1
0.11125 1 -4.91085e-13 1 1
0.11375 1 -5.22298e-13 1 1
0.11625 1 -5.2943e-13 1 1
0.11875 1 -5.53143e-13 1 1
0.12125 1 -5.83272e-13 1 1
0.12375 1 -5.96137e-13 1 1
0.12625 1 -5.88586e-13 1 1
0.12875 1 -5.80872e-13 1 1
0.13125 1 -5.17931e-13 1 1
0.13375 1 -4.47244e-13 1 1
0.13625 1 -3.33761e-13 1 1
0.13875 1 -1.70855e-13 1 1
0.14125 1 -7.53151e-14 1 1
0.14375 1 -1.4165e-14 1 1
0.14625 1 3.6204e-14 1 1
0.14875 1 5.76153e-14 1 1
0.15125 1 9.09948e-14 1 1
0.15375 1 2.27632e-13 1 1
0.15625 1 3.27816e-13 1 1
0.15875 1 3.4986e-13 1 1
0.16125 1 3.94552e-13 1 1
0.16375 1 4.58961e-13 1 1
0.16625 1 4.70117e-13 1 1
0.16875 1 4.02239e-13 1 1
0.17125 1 3.98802e-13 1 1
0.17375 1 4.44131e-13 1 1
0.17625 1 3.9732e-13 1 1
0.17875 1 4.41198e-13 1 1
0.18125 1 6.28988e-13 1 1
0.18375 1 9.71343e-13 1 1
0.18625 1 1.90142e-12 1 1
0.18875 1 4.25025e-12 1 1
0.19125 1 9.86388e-12 1 1
0.19375 1 2.29816e-11 1 1
0.19625 1 5.28907e-11 1 1
0.19875 1 1.19936e-10 1 1
0.20125 1 2.68007e-10 1 1
0.20375 1 5.90067e-10 1 1
0.20625 1 1.28021e-09 1 1
0.20875 1 2.73667e-09 1 1
0.21125 1 5.76317e-09 1 1
0.21375 1 1.19548e-08 1 1
0.21625 1 2.44226e-08 1 1
0.21875 1 4.913e-08 1 1
0.22125 1 9.73063e-08 1 1
0.22375 1 1.89718e-07 1 1
0.22625 1 3.64063e-07 1 1
0.22875 1 6.87507e-07 1 1
0.23125 0.999999 1.27742e-06 0.999999 1
0.23375 0.999999 2.33495e-06 0.999998 0.999998
0.23625 0.999998 4.19787e-06 0.999997 0.999996
0.23875 0.999996 7.42189e-06 0.999995 0.99999
0.24125 0.999992 1.2902e-05 0.999991 0.999984
0.24375 0.999987 2.20484e-05 0.999985 0.999975
0.24625 0.999978 3.70339e-05 0.999975 0.999955
0.24875 0.999964 6.11289e-05 0.999958 0.999927
0.25125 0.999941 9.91394e-05 0.999933 0.999882
0.25375 0.999907 0.000157953 0.999892 0.999813
0.25625 0.999854 0.000247187 0.999831 0.99971
0.25875 0.999776 0.000379915 0.99974 0.999552
0.26125 0.999662 0.000573409 0.999608 0.999325
0.26375 0.9995 0.000849832 0.999418 0.998999
0.26625 0.999274 0.00123675 0.999152 0.998548
0.26875 0.998964 0.00176738 0.998787 0.997929
0.27125 0.998548 0.00248039 0.998295 0.997099
0.27375 0.998001 0.00341923 0.997647 0.99601
0.27625 0.997299 0.00463095 0.996808 0.994606
0.27875 0.996411 0.00616442 0.995745 0.992841
0.28125 0.995313 0.00806837 0.994422 0.990656
0.28375 0.993979 0.010389 0.992807 0.988008
0.28625 0.992388 0.013168 0.990868 0.984853
0.28875 0.990522 0.0164404 0.988581 0.98116
0.29125 0.988368 0.0202331 0.985924 0.976907
0.29375 0.985919 0.0245646 0.982885 0.972087
0.29625 0.983173 0.0294441 0.979456 0.966697
0.29875 0.980133 0.0348723 0.975635 0.960751
0.30125 0.976808 0.040842 0.971427 0.954268
0.30375 0.973208 0.0473397 0.966841 0.947276
0.30625 0.969347 0.0543467 0.961891 0.939808
0.30875 0.965241 0.0618405 0.956593 0.931899
0.31125 0.960905 0.0697965 0.950965 0.92359
0.31375 0.956358 0.078189 0.945027 0.914916
0.31625 0.951614 0.0869926 0.938798 0.905913
0.31875 0.94669 0.096183 0.932296 0.896615
0.32125 0.941597 0.105738 0.925538 0.887051
0.32375 0.936348 0.115639 0.918541 0.877251
0.32625 0.930953 0.125868 0.911319 0.867237
0.32875 0.925426 0.136402 0.90389 0.857037
0.33125 0.919781 0.147213 0.896276 0.846684
0.33375 0.914029 0.158275 0.888498 0.836202
0.33625 0.908181 0.169565 0.880575 0.825613
0.33875 0.902246 0.181063 0.872525 0.814936
0.34125 0.896232 0.192748 0.864364 0.804189
0.34375 0.890147 0.204603 0.856107 0.793389
0.34625 0.883999 0.21661 0.84777 0.78255
0.34875 0.877793 0.228755 0.839365 0.771689
0.35125 0.871536 0.241022 0.830906 0.760813
0.35375 0.865232 0.253399 0.822401 0.749936
0.35625 0.858887 0.265872 0.813864 0.739068
0.35875 0.852506 0.278431 0.805303 0.728217
0.36125 0.846094 0.291063 0.796727 0.717392
0.36375 0.839654 0.303758 0.788144 0.706604
0.36625 0.833192 0.316505 0.779565 0.695864
0.36875 0.826714 0.329293 0.770995 0.685174
0.37125 0.820223 0.34211 0.762444 0.67455
0.37375 0.813727 0.354945 0.753919 0.663998
0.37625 0.80723 0.367787 0.745429 0.653528
0.37875 0.800741 0.380619 0.736983 0.643154
0.38125 0.794267 0.393428 0.728591 0.632884
0.38375 0.787817 0.406195 0.720263 0.622736
0.38625 0.781404 0.418898 0.712014 0.612724
0.38875 0.775041 0.431512 0.703857 0.602871
