# AMReX N0 (const+Euler+BS), Nx=400, t=0.1, CFL 0.1; source benchmarks/raw/report_inputs/bw_n0_400.csv
x rho u By p
0.00125 1 0 1 1
0.00625 1 0 1 1
0.01125 1 0 1 1
0.01625 1 0 1 1
0.02125 1 0 1 1
0.02625 1 0 1 1
0.03125 1 0 1 1
0.03625 1 0 1 1
0.04125 1 0 1 1
0.04625 1 0 1 1
0.05125 1 0 1 1
0.05625 1 0 1 1
0.06125 1 0 1 1
0.06625 1 0 1 1
0.07125 1 0 1 1
0.07625 1 0 1 1
0.08125 1 0 1 1
0.08625 1 0 1 1
0.09125 1 0 1 1
0.09625 1 0 1 1
0.10125 1 0 1 1
0.10625 1 0 1 1
0.11125 1 0 1 1
0.11625 1 0 1 1
0.12125 1 0 1 1
0.12625 1 0 1 1
0.13125 1 0 1 1
0.13625 1 2.78256e-17 1 1
0.14125 1 1.27639e-15 1 1
0.14625 1 5.89209e-15 1 1
0.15125 1 2.5068e-14 1 1
0.15625 1 1.04177e-13 1 1
0.16125 1 4.25808e-13 1 1
0.16625 1 1.69076e-12 1 1
0.17125 1 6.50265e-12 1 1
0.17625 1 2.42033e-11 1 1
0.18125 1 8.7147e-11 1 1
0.18625 1 3.03412e-10 1 1
0.19125 1 1.02096e-09 1 1
0.19625 1 3.31866e-09 1 1
0.20125 1 1.04155e-08 1 1
0.20625 1 3.15448e-08 1 1
0.21125 1 9.21462e-08 1 1
0.21625 1 2.59469e-07 1 1
0.22125 1 7.03887e-07 1 0.999999
0.22625 0.999999 1.83854e-06 0.999999 0.999998
0.23125 0.999997 4.62099e-06 0.999997 0.999995
0.23625 0.999994 1.1169e-05 0.999993 0.999987
0.24125 0.999985 2.59442e-05 0.999984 0.99997
0.24625 0.999968 5.788e-05 0.999965 0.999932
0.25125 0.999931 0.000123938 0.999924 0.999855
0.25625 0.999858 0.000254571 0.999843 0.999703
0.26125 0.99972 0.000501305 0.999689 0.999416
0.26625 0.999471 0.000946013 0.999409 0.998901
0.27125 0.999044 0.00171037 0.998927 0.998018
0.27625 0.998344 0.0029627 0.998132 0.996577
0.28125 0.997251 0.00491873 0.996883 0.994336
0.28625 0.995625 0.00783315 0.995011 0.991015
0.29125 0.993312 0.011981 0.992332 0.986318
0.29625 0.990164 0.0176315 0.988662 0.979968
0.30125 0.986056 0.0250194 0.983839 0.971737
0.30625 0.980894 0.0343213 0.977741 0.96148
0.31125 0.974629 0.0456408 0.970291 0.949145
0.31625 0.967255 0.0590054 0.961469 0.934774
0.32125 0.958808 0.0743744 0.951302 0.91849
0.32625 0.949352 0.0916516 0.939855 0.900479
0.33125 0.938977 0.110703 0.927224 0.880966
0.33625 0.927783 0.131371 0.913521 0.860194
0.34125 0.915875 0.153488 0.898862 0.838406
0.34625 0.903358 0.176888 0.883368 0.815838
0.35125 0.890331 0.201411 0.867152 0.792706
0.35625 0.876887 0.226905 0.85032 0.769207
0.36125 0.863111 0.253228 0.83297 0.745515
0.36625 0.849081 0.280252 0.81519 0.721787
0.37125 0.834871 0.307852 0.797064 0.698159
0.37625 0.820549 0.335909 0.778668 0.674754
0.38125 0.80618 0.364304 0.760079 0.651686
0.38625 0.791834 0.392912 0.741375 0.629063
0.39125 0.777582 0.421592 0.72264 0.606993
0.39625 0.763509 0.450178 0.703974 0.585593
0.40125 0.749714 0.478459 0.685504 0.564996
0.40625 0.736327 0.506165 0.667392 0.545368
0.41125 0.723514 0.532927 0.649861 0.526919
