# AMReX N3 (MUSCL+SSPRK2+GS), Nx=400, t=0.1, CFL 0.1; source /tmp/bw_N3.csv
x rho u By p
0.00125 1 0 1 1
0.00625 1 0 1 1
0.01125 1 0 1 1
0.01625 1 0 1 1
0.02125 1 0 1 1
0.02625 1 0 1 1
0.03125 1 0 1 1
0.03625 1 0 1 1
0.04125 1 0 1 1
0.04625 1 0 1 1
0.05125 1 0 1 1
0.05625 1 0 1 1
0.06125 1 0 1 1
0.06625 1 0 1 1
0.07125 1 0 1 1
0.07625 1 0 1 1
0.08125 1 0 1 1
0.08625 1 0 1 1
0.09125 1 0 1 1
0.09625 1 0 1 1
0.10125 1 0 1 1
0.10625 1 0 1 1
0.11125 1 0 1 1
0.11625 1 0 1 1
0.12125 1 0 1 1
0.12625 1 0 1 1
0.13125 1 0 1 1
0.13625 1 0 1 1
0.14125 1 0 1 1
0.14625 1 0 1 1
0.15125 1 0 1 1
0.15625 1 0 1 1
0.16125 1 0 1 1
0.16625 1 0 1 1
0.17125 1 0 1 1
0.17625 1 0 1 1
0.18125 1 0 1 1
0.18625 1 0 1 1
0.19125 1 0 1 1
0.19625 1 0 1 1
0.20125 1 0 1 1
0.20625 1 0 1 1
0.21125 1 0 1 1
0.21625 1 0 1 1
0.22125 1 0 1 1
0.22625 1 0 1 1
0.23125 1 0 1 1
0.23625 1 0 1 1
0.24125 1 0 1 1
0.24625 1 0 1 1
0.25125 1 0 1 1
0.25625 1 0 1 1
0.26125 1 0 1 1
0.26625 1 0 1 1
0.27125 1 0 1 1
0.27625 1 0 1 1
0.28125 1 0 1 1
0.28625 1 0 1 1
0.29125 1 0 1 1
0.29625 1 0 1 1
0.30125 1 -9.38727e-10 1 1
0.30625 1 -4.35422e-09 1 1
0.31125 1 -6.55863e-09 1 1
0.31625 0.999998 3.54267e-06 0.999998 0.999996
0.32125 0.991769 0.0147745 0.990016 0.983621
0.32625 0.97581 0.0436179 0.970599 0.952225
0.33125 0.958673 0.0748491 0.949671 0.919075
0.33625 0.941349 0.106706 0.928424 0.886158
0.34125 0.924026 0.138855 0.907082 0.853844
0.34625 0.906772 0.171178 0.885723 0.822255
0.35125 0.889621 0.203614 0.864381 0.791444
0.35625 0.872593 0.236128 0.843076 0.761436
0.36125 0.855701 0.268697 0.821818 0.73224
0.36625 0.838953 0.301308 0.800611 0.703858
0.37125 0.822354 0.333949 0.779455 0.676282
0.37625 0.80591 0.366615 0.758348 0.649505
0.38125 0.789623 0.399297 0.737285 0.623519
0.38625 0.773501 0.431984 0.716267 0.598316
0.39125 0.757551 0.464657 0.695296 0.573896
0.39625 0.741789 0.497286 0.674379 0.550262
0.40125 0.726239 0.529817 0.653539 0.527434
0.40625 0.71098 0.56208 0.632872 0.505502
0.41125 0.696303 0.59344 0.612768 0.484848
0.41625 0.683174 0.62177 0.59458 0.46674
0.42125 0.67391 0.641882 0.58164 0.454167
0.42625 0.670862 0.647867 0.577783 0.450065
0.43125 0.672303 0.645721 0.579115 0.452005
0.43625 0.676963 0.635332 0.585926 0.458295
0.44125 0.678449 0.631466 0.588109 0.460311
0.44625 0.678511 0.632015 0.587829 0.460396
0.45125 0.677411 0.634342 0.586717 0.458908
0.45625 0.676505 0.636264 0.585335 0.457682
0.46125 0.676032 0.63716 0.5845 0.457046
0.46625 0.680838 0.634265 0.562584 0.464981
0.47125 0.815448 0.462544 -0.178128 0.707102
0.47625 0.762827 0.550941 -0.419493 0.617044
