# independent Kurganov-Tadmor reference, Nx=6400, t=0.1, CFL 0.4; source benchmarks/raw/report_inputs/bw_kt_6400.csv
x rho u By p
7.8125e-05 1 0 1 1
0.00257813 1 0 1 1
0.00507813 1 0 1 1
0.00757812 1 0 1 1
0.0100781 1 0 1 1
0.0125781 1 0 1 1
0.0150781 1 0 1 1
0.0175781 1 0 1 1
0.0200781 1 0 1 1
0.0225781 1 0 1 1
0.0250781 1 0 1 1
0.0275781 1 0 1 1
0.0300781 1 0 1 1
0.0325781 1 0 1 1
0.0350781 1 0 1 1
0.0375781 1 0 1 1
0.0400781 1 0 1 1
0.0425781 1 0 1 1
0.0450781 1 0 1 1
0.0475781 1 0 1 1
0.0500781 1 0 1 1
0.0525781 1 0 1 1
0.0550781 1 0 1 1
0.0575781 1 0 1 1
0.0600781 1 0 1 1
0.0625781 1 0 1 1
0.0650781 1 0 1 1
0.0675781 1 0 1 1
0.0700781 1 0 1 1
0.0725781 1 0 1 1
0.0750781 1 0 1 1
0.0775781 1 0 1 1
0.0800781 1 0 1 1
0.0825781 1 0 1 1
0.0850781 1 0 1 1
0.0875781 1 0 1 1
0.0900781 1 0 1 1
0.0925781 1 0 1 1
0.0950781 1 0 1 1
0.0975781 1 0 1 1
0.100078 1 0 1 1
0.102578 1 0 1 1
0.105078 1 0 1 1
0.107578 1 0 1 1
0.110078 1 0 1 1
0.112578 1 0 1 1
0.115078 1 0 1 1
0.117578 1 0 1 1
0.120078 1 0 1 1
0.122578 1 0 1 1
0.125078 1 0 1 1
0.127578 1 0 1 1
0.130078 1 0 1 1
0.132578 1 0 1 1
0.135078 1 0 1 1
0.137578 1 0 1 1
0.140078 1 0 1 1
0.142578 1 0 1 1
0.145078 1 0 1 1
0.147578 1 0 1 1
0.150078 1 0 1 1
0.152578 1 0 1 1
0.155078 1 0 1 1
0.157578 1 0 1 1
0.160078 1 0 1 1
0.162578 1 0 1 1
0.165078 1 0 1 1
0.167578 1 0 1 1
0.170078 1 0 1 1
0.172578 1 0 1 1
0.175078 1 0 1 1
0.177578 1 0 1 1
0.180078 1 0 1 1
0.182578 1 0 1 1
0.185078 1 0 1 1
0.187578 1 0 1 1
0.190078 1 0 1 1
0.192578 1 0 1 1
0.195078 1 0 1 1
0.197578 1 0 1 1
0.200078 1 0 1 1
0.202578 1 0 1 1
0.205078 1 0 1 1
0.207578 1 0 1 1
0.210078 1 0 1 1
0.212578 1 0 1 1
0.215078 1 0 1 1
0.217578 1 0 1 1
0.220078 1 0 1 1
0.222578 1 0 1 1
0.225078 1 0 1 1
0.227578 1 0 1 1
0.230078 1 0 1 1
0.232578 1 0 1 1
0.235078 1 0 1 1
0.237578 1 0 1 1
0.240078 1 0 1 1
0.242578 1 0 1 1
0.245078 1 0 1 1
0.247578 1 0 1 1
0.250078 1 0 1 1
0.252578 1 0 1 1
0.255078 1 0 1 1
0.257578 1 0 1 1
0.260078 1 0 1 1
0.262578 1 0 1 1
0.265078 1 0 1 1
0.267578 1 0 1 1
0.270078 1 0 1 1
0.272578 1 0 1 1
0.275078 1 0 1 1
0.277578 1 0 1 1
0.280078 1 0 1 1
0.282578 1 0 1 1
0.285078 1 0 1 1
0.287578 1 0 1 1
0.290078 1 0 1 1
0.292578 1 0 1 1
0.295078 1 0 1 1
0.297578 1 0 1 1
0.300078 1 0 1 1
0.302578 1 0 1 1
0.305078 1 0 1 1
0.307578 1 0 1 1
0.310078 1 0 1 1
0.312578 1 0 1 1
0.315078 1 0 1 1
0.317578 1 0 1 1
0.320078 1 0 1 1
0.322578 0.992364 0.0137123 0.990735 0.984786
0.325078 0.983286 0.0300826 0.979701 0.966851
0.327578 0.974198 0.046546 0.968633 0.949063
0.330078 0.965129 0.063053 0.957563 0.931474
0.332578 0.956088 0.0795858 0.946505 0.914105
0.335078 0.947081 0.0961358 0.935462 0.896962
0.337578 0.938109 0.112698 0.924437 0.880048
0.340078 0.929174 0.129271 0.913433 0.863365
0.342578 0.920279 0.14585 0.90245 0.846913
0.345078 0.911423 0.162436 0.891487 0.830691
0.347578 0.902606 0.179027 0.880547 0.814699
0.350078 0.893831 0.195623 0.869627 0.798934
0.352578 0.885096 0.212222 0.858728 0.783396
0.355078 0.876403 0.228824 0.84785 0.768082
0.357578 0.867751 0.245429 0.836993 0.752992
0.360078 0.859141 0.262037 0.826155 0.738123
0.362578 0.850573 0.278646 0.815336 0.723474
0.365078 0.842046 0.295258 0.804535 0.709042
0.367578 0.833562 0.31187 0.793753 0.694826
0.370078 0.82512 0.328485 0.782987 0.680824
0.372578 0.816721 0.3451 0.772237 0.667033
