# AMReX Dai-Woodward n0, Nx=400, t=0.2; source /tmp/dw_n0.csv
x rho u By p
-0.49875 1.08 1.2 1.01554 0.95
-0.49375 1.08 1.2 1.01554 0.95
-0.48875 1.08 1.2 1.01554 0.95
-0.48375 1.08 1.2 1.01554 0.95
-0.47875 1.08 1.2 1.01554 0.95
-0.47375 1.08 1.2 1.01554 0.95
-0.46875 1.08 1.2 1.01554 0.95
-0.46375 1.08 1.2 1.01554 0.95
-0.45875 1.08 1.2 1.01554 0.95
-0.45375 1.08 1.2 1.01554 0.95
-0.44875 1.08 1.2 1.01554 0.95
-0.44375 1.08 1.2 1.01554 0.95
-0.43875 1.08 1.2 1.01554 0.95
-0.43375 1.08 1.2 1.01554 0.95
-0.42875 1.08 1.2 1.01554 0.95
-0.42375 1.08 1.2 1.01554 0.95
-0.41875 1.08 1.2 1.01554 0.95
-0.41375 1.08 1.2 1.01554 0.95
-0.40875 1.08 1.2 1.01554 0.95
-0.40375 1.08 1.2 1.01554 0.95
-0.39875 1.08 1.2 1.01554 0.95
-0.39375 1.08 1.2 1.01554 0.95
-0.38875 1.08 1.2 1.01554 0.95
-0.38375 1.08 1.2 1.01554 0.95
-0.37875 1.08 1.2 1.01554 0.95
-0.37375 1.08 1.2 1.01554 0.95
-0.36875 1.08 1.2 1.01554 0.95
-0.36375 1.08 1.2 1.01554 0.95
-0.35875 1.08 1.2 1.01554 0.95
-0.35375 1.08 1.2 1.01554 0.95
-0.34875 1.08 1.2 1.01554 0.95
-0.34375 1.08 1.2 1.01554 0.95
-0.33875 1.08 1.2 1.01554 0.95
-0.33375 1.08 1.2 1.01554 0.95
-0.32875 1.08 1.2 1.01554 0.95
-0.32375 1.08 1.2 1.01554 0.95
-0.31875 1.08 1.2 1.01554 0.95
-0.31375 1.08 1.2 1.01554 0.95
-0.30875 1.08 1.2 1.01554 0.95
-0.30375 1.08 1.2 1.01554 0.95
-0.29875 1.08 1.2 1.01554 0.95
-0.29375 1.08 1.2 1.01554 0.95
-0.28875 1.08 1.2 1.01554 0.95
-0.28375 1.08 1.2 1.01554 0.95
-0.27875 1.08 1.2 1.01554 0.95
-0.27375 1.08 1.2 1.01554 0.95
-0.26875 1.08 1.2 1.01554 0.95
-0.26375 1.08 1.2 1.01554 0.95
-0.25875 1.08 1.2 1.01554 0.95
-0.25375 1.08 1.2 1.01554 0.95
-0.24875 1.08 1.2 1.01554 0.95
-0.24375 1.08 1.2 1.01554 0.950001
-0.23875 1.08 1.19999 1.01555 0.950006
-0.23375 1.08003 1.19996 1.01558 0.950041
-0.22875 1.08019 1.19968 1.01579 0.95029
-0.22375 1.08133 1.19775 1.01728 0.952053
-0.21875 1.08901 1.18474 1.02728 0.964037
-0.21375 1.12964 1.11608 1.07928 1.02959
-0.20875 1.2359 0.94229 1.21574 1.20909
-0.20375 1.33945 0.781026 1.35779 1.38541
-0.19875 1.38452 0.712546 1.42468 1.45964
-0.19375 1.39711 0.693493 1.44423 1.4798
-0.18875 1.40007 0.689022 1.44889 1.48447
-0.18375 1.40072 0.688034 1.44993 1.4855
-0.17875 1.40086 0.687826 1.45015 1.48572
-0.17375 1.40088 0.687788 1.45019 1.48576
-0.16875 1.40089 0.687786 1.45019 1.48576
-0.16375 1.40088 0.687791 1.45018 1.48576
-0.15875 1.40088 0.687796 1.45017 1.48576
-0.15375 1.40088 0.687801 1.45017 1.48575
-0.14875 1.40087 0.687806 1.45016 1.48575
-0.14375 1.40087 0.68781 1.45015 1.48575
-0.13875 1.40087 0.687813 1.45015 1.48575
-0.13375 1.40087 0.687815 1.45014 1.48575
-0.12875 1.40087 0.687817 1.45013 1.48576
-0.12375 1.40087 0.687819 1.45012 1.48576
-0.11875 1.40087 0.68782 1.45012 1.48577
-0.11375 1.40087 0.68782 1.45011 1.48578
-0.10875 1.40088 0.68782 1.4501 1.48579
-0.10375 1.40088 0.687819 1.45009 1.4858
-0.09875 1.40089 0.687816 1.4501 1.48582
-0.09375 1.4009 0.687812 1.45015 1.48585
-0.08875 1.40092 0.687804 1.45034 1.48589
-0.08375 1.40095 0.687788 1.45097 1.48598
-0.07875 1.401 0.687754 1.45269 1.48615
-0.07375 1.40112 0.687686 1.45674 1.48649
-0.06875 1.40132 0.687563 1.46499 1.48709
-0.06375 1.40163 0.687369 1.47924 1.48802
-0.05875 1.40203 0.687112 1.49977 1.48921
-0.05375 1.40244 0.68685 1.5241 1.49036
-0.04875 1.40273 0.686661 1.54758 1.49112
-0.04375 1.4029 0.686573 1.56597 1.49141
-0.03875 1.40305 0.686523 1.57757 1.49156
-0.03375 1.40346 0.686376 1.58314 1.49217
-0.02875 1.40461 0.685905 1.58439 1.49416
-0.02375 1.40775 0.68459 1.5821 1.49974
-0.01875 1.41587 0.681185 1.57456 1.51425
-0.01375 1.43488 0.673229 1.55665 1.54854
-0.00875 1.47216 0.657652 1.52146 1.61711
-0.00375 1.52763 0.634487 1.46911 1.72168
0.00125 1.58513 0.610384 1.41519 1.83265
0.00625 1.62609 0.593063 1.37725 1.91309
0.01125 1.64752 0.583888 1.35766 1.95568
0.01625 1.65651 0.579972 1.34953 1.97376
0.02125 1.65966 0.578543 1.34666 1.9803
0.02625 1.66053 0.578094 1.3458 1.98232
0.03125 1.6606 0.577984 1.3456 1.98282
0.03625 1.66041 0.577974 1.3456 1.98286
0.04125 1.66014 0.57799 1.34564 1.98279
0.04625 1.65981 0.57801 1.34568 1.9827
0.05125 1.65944 0.578029 1.34572 1.98263
0.05625 1.659 0.578045 1.34575 1.98256
0.06125 1.65843 0.57806 1.34578 1.9825
0.06625 1.65764 0.578073 1.34581 1.98245
0.07125 1.65643 0.578086 1.34583 1.98241
0.07625 1.65443 0.578097 1.34585 1.98237
0.08125 1.65104 0.578108 1.34586 1.98234
0.08625 1.64546 0.578118 1.34588 1.98231
0.09125 1.63682 0.578128 1.34589 1.98229
0.09625 1.6245 0.578137 1.3459 1.98227
0.10125 1.60838 0.578146 1.34591 1.98225
0.10625 1.58918 0.578155 1.34591 1.98223
0.11125 1.56834 0.578163 1.34592 1.98222
0.11625 1.54772 0.578172 1.34592 1.98221
0.12125 1.52916 0.57818 1.34592 1.9822
0.12625 1.51397 0.578189 1.34593 1.9822
0.13125 1.50271 0.578198 1.34593 1.9822
0.13625 1.49522 0.578206 1.34592 1.9822
0.14125 1.49084 0.578215 1.34592 1.98221
0.14625 1.48874 0.578225 1.34592 1.98221
0.15125 1.48809 0.578235 1.34591 1.98223
0.15625 1.48825 0.578245 1.3459 1.98224
0.16125 1.48878 0.578256 1.34589 1.98226
0.16625 1.48944 0.578267 1.34588 1.98229
0.17125 1.49009 0.578279 1.34586 1.98232
0.17625 1.49068 0.57829 1.34585 1.98234
0.18125 1.49118 0.578294 1.34585 1.98232
0.18625 1.49159 0.578281 1.3459 1.98222
0.19125 1.49184 0.578222 1.34607 1.98186
0.19625 1.49181 0.578054 1.34652 1.98093
0.20125 1.49124 0.577656 1.34757 1.97878
0.20625 1.48966 0.576808 1.34977 1.9743
0.21125 1.48629 0.575144 1.35407 1.96564
0.21625 1.47996 0.572115 1.36182 1.9501
0.22125 1.46911 0.566987 1.37473 1.92424
0.22625 1.45213 0.558959 1.39443 1.88464
0.23125 1.42794 0.547446 1.4216 1.82957
0.23625 1.39705 0.532553 1.45495 1.76114
0.24125 1.36224 0.515461 1.49077 1.68643
0.24625 1.328 0.498289 1.5241 1.6155
0.25125 1.29865 0.483254 1.5509 1.55685
0.25625 1.2765 0.471688 1.5695 1.51398
0.26125 1.26148 0.463729 1.5804 1.48567
0.26625 1.25211 0.458714 1.58518 1.46837
0.27125 1.24662 0.455753 1.58549 1.45836
0.27625 1.24353 0.454075 1.58266 1.45275
0.28125 1.24182 0.453133 1.57763 1.44959
0.28625 1.24084 0.452582 1.57108 1.4477
0.29125 1.24024 0.45222 1.56353 1.4464
0.29625 1.23982 0.451942 1.55543 1.44534
0.30125 1.23947 0.451698 1.54721 1.44436
0.30625 1.23916 0.451467 1.53926 1.44342
0.31125 1.23887 0.451249 1.5319 1.44252
0.31625 1.23861 0.451045 1.52537 1.44168
0.32125 1.23838 0.450862 1.51984 1.44093
0.32625 1.23819 0.450703 1.51533 1.44027
0.33125 1.23802 0.45057 1.51181 1.43972
0.33625 1.23789 0.450462 1.50918 1.43927
0.34125 1.23779 0.450377 1.50728 1.43892
0.34625 1.23771 0.450312 1.50596 1.43866
0.35125 1.23766 0.450264 1.50509 1.43845
0.35625 1.23761 0.450228 1.50453 1.4383
0.36125 1.23758 0.450202 1.50418 1.43819
0.36625 1.23756 0.450183 1.50398 1.43811
0.37125 1.23755 0.450168 1.50387 1.43805
0.37625 1.23753 0.450158 1.50382 1.438
0.38125 1.23753 0.450149 1.50379 1.43796
0.38625 1.23752 0.450142 1.50378 1.43793
0.39125 1.23751 0.450134 1.50378 1.4379
0.39625 1.23751 0.450126 1.50379 1.43787
0.40125 1.2375 0.450113 1.50379 1.43784
0.40625 1.23748 0.450089 1.50378 1.4378
0.41125 1.23745 0.450041 1.50374 1.43773
0.41625 1.2374 0.44994 1.50365 1.43762
0.42125 1.23728 0.44973 1.50346 1.43741
0.42625 1.23704 0.449294 1.50303 1.43698
0.43125 1.23655 0.448403 1.50216 1.43612
0.43625 1.23556 0.446606 1.5004 1.43439
0.44125 1.23359 0.44304 1.49691 1.43095
0.44625 1.22976 0.436106 1.49016 1.42424
0.45125 1.22253 0.422979 1.47752 1.41145
0.45625 1.20945 0.399163 1.45499 1.38801
0.46125 1.18747 0.358875 1.41795 1.34789
0.46625 1.15463 0.29805 1.36428 1.2868
0.47125 1.11353 0.220687 1.29938 1.20935
0.47625 1.07259 0.142235 1.23667 1.13237
0.48125 1.04072 0.0802197 1.18881 1.07333
0.48625 1.0207 0.0408836 1.15904 1.03692
0.49125 1.00989 0.0195474 1.14306 1.01754
0.49625 1.00446 0.00906536 1.13529 1.00805
