# AMReX Dai-Woodward ref, Nx=2048, t=0.2; source benchmarks/raw/report_inputs/dw_ref_2048.csv
x rho u By p
-0.499756 1.08 1.2 1.01554 0.95
-0.497314 1.08 1.2 1.01554 0.95
-0.494873 1.08 1.2 1.01554 0.95
-0.492432 1.08 1.2 1.01554 0.95
-0.48999 1.08 1.2 1.01554 0.95
-0.487549 1.08 1.2 1.01554 0.95
-0.485107 1.08 1.2 1.01554 0.95
-0.482666 1.08 1.2 1.01554 0.95
-0.480225 1.08 1.2 1.01554 0.95
-0.477295 1.08 1.2 1.01554 0.95
-0.474854 1.08 1.2 1.01554 0.95
-0.472412 1.08 1.2 1.01554 0.95
-0.469971 1.08 1.2 1.01554 0.95
-0.467529 1.08 1.2 1.01554 0.95
-0.465088 1.08 1.2 1.01554 0.95
-0.462646 1.08 1.2 1.01554 0.95
-0.460205 1.08 1.2 1.01554 0.95
-0.457275 1.08 1.2 1.01554 0.95
-0.454834 1.08 1.2 1.01554 0.95
-0.452393 1.08 1.2 1.01554 0.95
-0.449951 1.08 1.2 1.01554 0.95
-0.44751 1.08 1.2 1.01554 0.95
-0.445068 1.08 1.2 1.01554 0.95
-0.442627 1.08 1.2 1.01554 0.95
-0.440186 1.08 1.2 1.01554 0.95
-0.437256 1.08 1.2 1.01554 0.95
-0.434814 1.08 1.2 1.01554 0.95
-0.432373 1.08 1.2 1.01554 0.95
-0.429932 1.08 1.2 1.01554 0.95
-0.42749 1.08 1.2 1.01554 0.95
-0.425049 1.08 1.2 1.01554 0.95
-0.422607 1.08 1.2 1.01554 0.95
-0.420166 1.08 1.2 1.01554 0.95
-0.417725 1.08 1.2 1.01554 0.95
-0.414795 1.08 1.2 1.01554 0.95
-0.412354 1.08 1.2 1.01554 0.95
-0.409912 1.08 1.2 1.01554 0.95
-0.407471 1.08 1.2 1.01554 0.95
-0.405029 1.08 1.2 1.01554 0.95
-0.402588 1.08 1.2 1.01554 0.95
-0.400146 1.08 1.2 1.01554 0.95
-0.397705 1.08 1.2 1.01554 0.95
-0.394775 1.08 1.2 1.01554 0.95
-0.392334 1.08 1.2 1.01554 0.95
-0.389893 1.08 1.2 1.01554 0.95
-0.387451 1.08 1.2 1.01554 0.95
-0.38501 1.08 1.2 1.01554 0.95
-0.382568 1.08 1.2 1.01554 0.95
-0.380127 1.08 1.2 1.01554 0.95
-0.377686 1.08 1.2 1.01554 0.95
-0.374756 1.08 1.2 1.01554 0.95
-0.372314 1.08 1.2 1.01554 0.95
-0.369873 1.08 1.2 1.01554 0.95
-0.367432 1.08 1.2 1.01554 0.95
-0.36499 1.08 1.2 1.01554 0.95
-0.362549 1.08 1.2 1.01554 0.95
-0.360107 1.08 1.2 1.01554 0.95
-0.357666 1.08 1.2 1.01554 0.95
-0.355225 1.08 1.2 1.01554 0.95
-0.352295 1.08 1.2 1.01554 0.95
-0.349854 1.08 1.2 1.01554 0.95
-0.347412 1.08 1.2 1.01554 0.95
-0.344971 1.08 1.2 1.01554 0.95
-0.342529 1.08 1.2 1.01554 0.95
-0.340088 1.08 1.2 1.01554 0.95
-0.337646 1.08 1.2 1.01554 0.95
-0.335205 1.08 1.2 1.01554 0.95
-0.332275 1.08 1.2 1.01554 0.95
-0.329834 1.08 1.2 1.01554 0.95
-0.327393 1.08 1.2 1.01554 0.95
-0.324951 1.08 1.2 1.01554 0.95
-0.32251 1.08 1.2 1.01554 0.95
-0.320068 1.08 1.2 1.01554 0.95
-0.317627 1.08 1.2 1.01554 0.95
-0.315186 1.08 1.2 1.01554 0.95
-0.312256 1.08 1.2 1.01554 0.95
-0.309814 1.08 1.2 1.01554 0.95
-0.307373 1.08 1.2 1.01554 0.95
-0.304932 1.08 1.2 1.01554 0.95
-0.30249 1.08 1.2 1.01554 0.95
-0.300049 1.08 1.2 1.01554 0.95
-0.297607 1.08 1.2 1.01554 0.95
-0.295166 1.08 1.2 1.01554 0.95
-0.292725 1.08 1.2 1.01554 0.95
-0.289795 1.08 1.2 1.01554 0.95
-0.287354 1.08 1.2 1.01554 0.95
-0.284912 1.08 1.2 1.01554 0.95
-0.282471 1.08 1.2 1.01554 0.95
-0.280029 1.08 1.2 1.01554 0.95
-0.277588 1.08 1.2 1.01554 0.95
-0.275146 1.08 1.2 1.01554 0.95
-0.272705 1.08 1.2 1.01554 0.95
-0.269775 1.08 1.2 1.01554 0.95
-0.267334 1.08 1.2 1.01554 0.95
-0.264893 1.08 1.2 1.01554 0.95
-0.262451 1.08 1.2 1.01554 0.95
-0.26001 1.08 1.2 1.01554 0.95
-0.257568 1.08 1.2 1.01554 0.95
-0.255127 1.08 1.2 1.01554 0.95
