# AMReX Orszag-Tang N=128, t=0.5, y=0.3125 slice (96 x-bins); source benchmarks/raw/report_inputs/ot_128.csv
x rho p
0.00520833 0.249804 0.204227
0.015625 0.256549 0.211511
0.0260417 0.259899 0.216438
0.0364583 0.258367 0.214168
0.046875 0.258157 0.214434
0.0572917 0.257416 0.22024
0.0677083 0.253132 0.21981
0.078125 0.247976 0.216943
0.0885417 0.243117 0.209287
0.0989583 0.242631 0.205423
0.109375 0.252237 0.209822
0.119792 0.259027 0.211973
0.130208 0.258163 0.208566
0.140625 0.25375 0.201505
0.151042 0.249192 0.193528
0.161458 0.245294 0.187939
0.171875 0.239092 0.180201
0.182292 0.23396 0.174861
0.192708 0.232211 0.17355
0.203125 0.23216 0.175037
0.213542 0.234437 0.179471
0.223958 0.237401 0.183997
0.234375 0.243594 0.192459
0.244792 0.251198 0.201732
0.255208 0.255517 0.206427
0.265625 0.238664 0.179333
0.276042 0.18318 0.109698
0.286458 0.147896 0.0706112
0.296875 0.152779 0.0722333
0.307292 0.165982 0.0830974
0.317708 0.172131 0.0886039
0.328125 0.178124 0.0946644
0.338542 0.181224 0.098774
0.348958 0.181614 0.100163
0.359375 0.181356 0.100866
0.369792 0.18016 0.100728
0.380208 0.178943 0.10032
0.390625 0.177495 0.0997606
0.401042 0.176625 0.0994117
0.411458 0.176386 0.0993253
0.421875 0.176352 0.0994017
0.432292 0.176681 0.0998443
0.442708 0.177589 0.100721
0.453125 0.181461 0.104279
0.463542 0.18937 0.111694
0.473958 0.197536 0.119562
0.484375 0.214584 0.136753
0.494792 0.236511 0.160272
0.505208 0.251213 0.176907
0.515625 0.269996 0.199069
0.526042 0.284251 0.216488
0.536458 0.29163 0.225836
0.546875 0.301096 0.23796
0.557292 0.310263 0.249702
0.567708 0.31526 0.256063
0.578125 0.317191 0.258406
0.588542 0.309491 0.248516
0.598958 0.298072 0.23431
0.609375 0.278865 0.211776
0.619792 0.264268 0.196571
0.630208 0.25907 0.192597
0.640625 0.254873 0.190385
0.651042 0.254431 0.191567
0.661458 0.255828 0.194202
0.671875 0.256435 0.197472
0.682292 0.258741 0.201588
0.692708 0.254847 0.199218
0.703125 0.169478 0.101334
0.713542 0.122703 0.049766
0.723958 0.124096 0.0507491
0.734375 0.126417 0.0524378
0.744792 0.129017 0.0545255
0.755208 0.130755 0.0561089
0.765625 0.132863 0.0584035
0.776042 0.134191 0.060162
0.786458 0.133445 0.0601551
0.796875 0.128001 0.0571434
0.807292 0.119414 0.0507226
0.817708 0.113455 0.0456878
0.828125 0.106617 0.0399005
0.838542 0.10304 0.0369364
0.848958 0.102631 0.0365191
0.859375 0.104129 0.0372575
0.869792 0.106716 0.0389295
0.880208 0.108191 0.0404141
0.890625 0.108653 0.0425109
0.901042 0.107905 0.044416
0.911458 0.107426 0.0460734
0.921875 0.110501 0.0524544
0.932292 0.11866 0.064425
0.942708 0.125915 0.0752434
0.953125 0.143877 0.0974257
0.963542 0.185609 0.138094
0.973958 0.224342 0.177847
0.984375 0.249725 0.207793
0.994792 0.251619 0.208296
