# AMReX rotor N=128, t=0.15, x=y diagonal (48 bins); source out_rotor.csv
x rho p
0.0104167 1 1
0.03125 1 1
0.0520833 1 1
0.0729167 1 1
0.09375 1 1
0.114583 1 1
0.135417 1 1
0.15625 1 1
0.177083 0.999701 0.99953
0.197917 1.14143 1.21364
0.21875 1.34779 1.53511
0.239583 1.33019 1.50854
0.260417 1.28643 1.44145
0.28125 1.24611 1.38046
0.302083 1.18426 1.28793
0.322917 1.00537 1.02886
0.34375 0.809064 0.758507
0.364583 0.76659 0.672831
0.385417 4.33041 1.0302
0.40625 6.53558 1.03306
0.427083 3.04284 0.397567
0.447917 1.00047 0.0392736
0.46875 1.00019 0.03922
0.489583 0.999998 0.0392248
0.510417 0.999998 0.0392248
0.53125 1.00019 0.03922
0.552083 1.00047 0.0392736
0.572917 3.04284 0.397567
0.59375 6.53558 1.03306
0.614583 4.33041 1.0302
0.635417 0.76659 0.672831
0.65625 0.809064 0.758507
0.677083 1.00537 1.02886
0.697917 1.18426 1.28793
0.71875 1.24611 1.38046
0.739583 1.28643 1.44145
0.760417 1.33019 1.50854
0.78125 1.34779 1.53511
0.802083 1.14143 1.21364
0.822917 0.999701 0.99953
0.84375 1 1
0.864583 1 1
0.885417 1 1
0.90625 1 1
0.927083 1 1
0.947917 1 1
0.96875 1 1
0.989583 1 1
