# legacy_corrected rotor 128x128 structured, t=0.15, CFL 0.5, x=y diagonal; source benchmarks/raw/legacy_corrected/rotor_128/final.vtu
x rho p
0.0104167 1 1
0.03125 1 1
0.0520833 1 1
0.0729167 1 1
0.09375 1 1
0.114583 1.00001 1.00002
0.135417 1.00025 1.00046
0.15625 1.00326 1.00438
0.177083 1.03829 1.05521
0.197917 1.16667 1.26273
0.21875 1.28369 1.42563
0.239583 1.29667 1.4578
0.260417 1.26354 1.40995
0.28125 1.21592 1.33923
0.302083 1.12252 1.20666
0.322917 0.975881 1.01501
0.34375 0.858265 0.851358
0.364583 1.12382 0.768575
0.385417 3.54433 0.885094
0.40625 5.70289 1.05709
0.427083 3.50181 0.554282
0.447917 1.16817 0.0807516
0.46875 1.08712 0.0601567
0.489583 1.11363 0.0616895
0.510417 1.11354 0.0617467
0.53125 1.09524 0.0605742
0.552083 1.15239 0.0771789
0.572917 3.24452 0.520188
0.59375 5.60944 0.975823
0.614583 3.82952 0.926097
0.635417 1.17359 0.763059
0.65625 0.851967 0.828323
0.677083 0.964312 0.997728
0.697917 1.11399 1.19367
0.71875 1.20049 1.31848
0.739583 1.26 1.40418
0.760417 1.2963 1.45424
0.78125 1.29127 1.45161
0.802083 1.18232 1.27656
0.822917 1.04392 1.06146
0.84375 1.00509 1.00902
0.864583 1.00037 1.00051
0.885417 1.00002 1.00002
0.90625 1 1
0.927083 1 1
0.947917 1 1
0.96875 1 1
0.989583 1 1
